_id,id,active,name,college_score,score,college_id,university_id,university_tier,university_name,city,state,category,aishe_id,university_type,abbreviation[0],abbreviation[1],abbreviation[2],abbreviation[3],abbreviation[4],__v
6941079e1c87f81bf2f6288d,91054,true,"Riddhi School of Nursing, Sabar Kantha",,,,,,,Sabar Kantha,Gujarat,STANDALONE,S-14746,,rsn,riddhi school,,,,0
6941079e1c87f81bf2f6288e,91055,true,"Ridhdhi Bca College Motipura, Sabar Kantha",5.075,50.75,C21880,U167,Tier-3,"Hemchandracharya North Gujart University, Patan",Sabar Kantha,Gujarat,College,C-6736,State Public University,rbc motipura,,,,,0
6941079e1c87f81bf2f6288f,91056,true,"Rita A Patel Institute of Physiotherapy, Anand",,,,,,THE CHARUTAR VIDYA MANDAL (CVM) UNIVERSITY,Anand,Gujarat,College,C-73053,State Private University,rap institute of physio,,,,,0
6941079e1c87f81bf2f62890,91057,true,"Rk University Ayurvedic College & Hospital, Rajkot",,,,,,"R K University, Rajkot",Rajkot,Gujarat,College,C-58555,State Private University,rku ayurvedic college,,,,,0
6941079e1c87f81bf2f62891,91058,true,"Rkm Institute of Pharmacy, Sabar Kantha",,,,,,"Gujarat Technological University, Ahmedabad",Sabar Kantha,Gujarat,College,C-73535,State Public University,rkm pharmacy sk,,,,,0
6941079e1c87f81bf2f62892,91059,true,"Rkm Pgdca Technical College Vijayanagar, Sabar Kantha",5.075,50.75,C21881,U167,Tier-3,"Hemchandracharya North Gujart University, Patan",Sabar Kantha,Gujarat,College,C-6846,State Public University,rkm pgdca,,,,,0
6941079e1c87f81bf2f62893,91060,true,"Rms College of Bca, Vadodara",,,,,,SHRI GOVIND GURU UNIVERSITY,Vadodara,Gujarat,College,C-70419,State Public University,rms bca vadodara,,,,,0
6941079e1c87f81bf2f62894,91061,true,"Rms College of Nursing, Vadodara",,,,,,SHRI GOVIND GURU UNIVERSITY,Vadodara,Gujarat,College,C-70993,State Public University,rms nursing vadodara,,,,,0
6941079e1c87f81bf2f62895,91062,true,"Rms Polytechnic, Vadodara",6.5,65,C22114,U163,Tier-2,"Gujarat Technological University, Ahmedabad",Vadodara,Gujarat,College,C-403,State Public University,rms poly,,,,,0
6941079e1c87f81bf2f62896,91063,true,"Robert Institute of Nursing, Anand",,,,,,"Sardar Patel University, Vallabh Vidyanagar",Anand,Gujarat,College,C-69158,State Public University,robert in anand,,,,,0
6941079e1c87f81bf2f62897,91064,true,"Rofel Shri Gm Bilakhia College of Pharmacy, Valsad",,,,,,RAJJU SHROFF ROFEL UNIVERSITY,Valsad,Gujarat,College,C-198,State Private University,rsgmbcp,,,,,0
6941079e1c87f81bf2f62898,91065,true,"Royal International School of Nursing, Vadodara",,,,,,,Vadodara,Gujarat,STANDALONE,S-13970,,risn,royal international school,,,,0
6941079e1c87f81bf2f62899,91066,true,"Rrm College of Sci & Clp College of Commerce, Banas Kantha",5.075,50.75,C20488,U167,Tier-3,"Hemchandracharya North Gujart University, Patan",Banas Kantha,Gujarat,College,C-6755,State Public University,rrmc & clpcc,,,,,0
6941079e1c87f81bf2f6289a,91067,true,"Rudra College of Business Administration, Ahmedabad",,,,,,MONARK UNIVERSITY,Ahmedabad,Gujarat,College,C-6125,State Private University,rcba,,,,,0
6941079e1c87f81bf2f6289b,91068,true,"S B Gardi Bed College Dhrol, Jamnagar",,,,,,"Saurashtra University, Rajkot",Jamnagar,Gujarat,College,C-50735,State Public University,sbgbc dhrol,,,,,0
6941079e1c87f81bf2f6289c,91069,true,"S D Solanki Bca College Kuski, Sabar Kantha",,,,,,"Hemchandracharya North Gujart University, Patan",Sabar Kantha,Gujarat,College,C-47444,State Public University,sdsbcac kuski,,,,,0
6941079e1c87f81bf2f6289d,91070,true,"S I College Sukhsar, Dahod",3.8,38,C20771,U206,Tier-4,SHRI GOVIND GURU UNIVERSITY,Dahod,Gujarat,College,C-65505,State Public University,sic sukhsar,,,,,0
6941079e1c87f81bf2f6289e,91071,true,"S M G K Arts Commerce And Science College, Amreli",,,,,,"Saurashtra University, Rajkot",Amreli,Gujarat,College,C-50344,State Public University,smgkacsc,,,,,0
6941079e1c87f81bf2f6289f,91072,true,"S P B Patel Engineering College, Mahesana",,,,,,"Gujarat Technological University, Ahmedabad",Mahesana,Gujarat,College,C-48579,State Public University,spbpec,,,,,0
6941079e1c87f81bf2f628a0,91073,true,"Ss Agrawal College of Commerce And Management, Navsari",,,,,,"Veer Narmad South Gujarat University, Surat",Navsari,Gujarat,College,C-654,State Public University,ssaccm navsari,,,,,0
6941079e1c87f81bf2f628a1,91074,true,"S S Agrawal Institute of Engineering And Technology, Navsari",6.5,65,C21455,U163,Tier-2,"Gujarat Technological University, Ahmedabad",Navsari,Gujarat,College,C-50736,State Public University,ssaiet,,,,,0
6941079e1c87f81bf2f628a2,91075,true,"S S Agrawal Institute of Physiotherapy And Medical Care Education, Navsari",5.3,53,C21485,U217,Tier-3,"Veer Narmad South Gujarat University, Surat",Navsari,Gujarat,College,C-48562,State Public University,mtc,,,,,0
6941079e1c87f81bf2f628a3,91076,true,"S V Chaudhary College of Education, Mahesana",5.075,50.75,C21346,U167,Tier-3,"Hemchandracharya North Gujart University, Patan",Mahesana,Gujarat,College,C-6715,State Public University,svc ce,,,,,0
6941079e1c87f81bf2f628a4,91077,true,"Sb Garda Arts College & Pk Patel College of Commerce, Navsari",,,,,,"Veer Narmad South Gujarat University, Surat",Navsari,Gujarat,College,C-484,State Public University,sbgac pkpcc,,,,,0
6941079e1c87f81bf2f628a5,91078,true,"S C A Patel Arts College, Vadodara",3.8,38,C22154,U206,Tier-4,SHRI GOVIND GURU UNIVERSITY,Vadodara,Gujarat,College,C-5801,State Public University,scapac,,,,,0
6941079e1c87f81bf2f628a6,91079,true,"Spb English Medium College of Commerce, Surat",,,,,,"Veer Narmad South Gujarat University, Surat",Surat,Gujarat,College,C-661,State Public University,spbemccs,,,,,0
6941079e1c87f81bf2f628a7,91080,true,"S P B Physiotherapy College, Surat",5.3,53,C22023,U217,Tier-3,"Veer Narmad South Gujarat University, Surat",Surat,Gujarat,College,C-485,State Public University,spbpc,,,,,0
6941079e1c87f81bf2f628a8,91081,true,"S R Luthra Institute of Management, Surat",6.5,65,C21939,U163,Tier-2,SARVAJANIK UNIVERSITY,Surat,Gujarat,College,C-229,State Private University,srlim,,,,,0
6941079e1c87f81bf2f628a9,91082,true,"Ss Agrawal Homoeopathic Medical College, Navsari",,,,,,"Veer Narmad South Gujarat University, Surat",Navsari,Gujarat,College,C-58630,State Public University,ssahmc navsari,,,,,0
6941079e1c87f81bf2f628aa,91083,true,"S S Mahla Computer Science College, Dangs",,,,,,"Veer Narmad South Gujarat University, Surat",Dangs,Gujarat,College,C-70924,State Public University,"mahla college, ss mahla",,,,,0
6941079e1c87f81bf2f628ab,91084,true,"Sb Polytechnic, Vadodara",,,,,,"Gujarat Technological University, Ahmedabad",Vadodara,Gujarat,College,C-77,State Public University,sbp savli,,,,,0
6941079e1c87f81bf2f628ac,91085,true,"Sb Sharma College of Nursing And Research, Jamnagar",,,,,,,Jamnagar,Gujarat,STANDALONE,S-20836,,sbscnr,sb sharma nursing,,,,0
6941079e1c87f81bf2f628ad,91086,true,"Sd Kotak Law College, Amreli",,,,,,"Saurashtra University, Rajkot",Amreli,Gujarat,College,C-762,State Public University,sdklc amreli,,,,,0
6941079e1c87f81bf2f628ae,91087,true,"Sd Shethia College of Education, Kachchh",3.8,38,C21112,U169,Tier-4,"Krantiguru Shyamji Krishna Verma Kachchh University, Kachchh",Kachchh,Gujarat,College,C-4099,State Public University,sdsce,,,,,0
6941079e1c87f81bf2f628af,91088,true,"Sh Institute of Nursing And Research Center, Surendranagar",,,,,,,Surendranagar,Gujarat,STANDALONE,S-21410,,shinrc,sh nursing institute,,,,0
6941079e1c87f81bf2f628b0,91089,true,"Sh Gardi Arts & Cr Gardi Comm College, Jamnagar",5.3,53,C20984,U203,Tier-3,"Saurashtra University, Rajkot",Jamnagar,Gujarat,College,C-999,State Public University,shgacrgc dhrol,,,,,0
6941079e1c87f81bf2f628b1,91090,true,"Sk Arts & Commerce College, Surendranagar",,,,,,"Saurashtra University, Rajkot",Surendranagar,Gujarat,College,C-70414,State Public University,sk acc dhajala,,,,,0
6941079e1c87f81bf2f628b2,91091,true,"Sk College of Science Post Graduation, Patan",,,,,,"Hemchandracharya North Gujart University, Patan",Patan,Gujarat,College,C-68224,State Public University,skcs pg patan,,,,,0
6941079e1c87f81bf2f628b3,91092,true,"Sk College of Science Pgdmlt, Patan",,,,,,"Hemchandracharya North Gujart University, Patan",Patan,Gujarat,College,C-68225,State Public University,skcs pgdmlt patan,,,,,0
6941079e1c87f81bf2f628b4,91093,true,"Sk Patel College of Pharmaceutical Education & Research, Mahesana",,,,,,"Ganpat University, Ganpat Vidyanagar, Kherva",Mahesana,Gujarat,College,C-446,State Private University,gnu skpcper,,,,,0
6941079e1c87f81bf2f628b5,91094,true,"Sk Patel Institute of Management & Computer Studies, Gandhinagar",,,,,,"Kadi Sarva Vishwavidyalaya, Gandihnagar",Gandhinagar,Gujarat,College,C-1081,State Private University,skpimcs gandhinagar,,,,,0
6941079e1c87f81bf2f628b6,91095,true,"Sklp Institute of Nursing, Kachchh",,,,,,,Kachchh,Gujarat,STANDALONE,S-13988,,sklpi n,sklp institute,,,,0
6941079e1c87f81bf2f628b7,91096,true,"Sm Modi Basic Training College, Patan",,,,,,,Patan,Gujarat,STANDALONE,S-5938,,smmbtc,sm modi college,,,,0
6941079e1c87f81bf2f628b8,91097,true,"Sm Desai Med College, Mahesana",5.075,50.75,C21331,U167,Tier-3,"Hemchandracharya North Gujart University, Patan",Mahesana,Gujarat,College,C-60061,State Public University,smdmec bechraji,,,,,0
6941079e1c87f81bf2f628b9,91098,true,"Sm Jadeja Arts & Commerce College, Porbandar",,,,,,BHAKTA KAVI NARSINH MEHTA UNIVERSITY,Porbandar,Gujarat,College,C-828,State Public University,smjacc kutiyana,,,,,0
6941079e1c87f81bf2f628ba,91099,true,"Snm Shah Med College, Panch Mahals",3.8,38,C21525,U206,Tier-4,SHRI GOVIND GURU UNIVERSITY,Panch Mahals,Gujarat,College,C-6063,State Public University,snmsmec,,,,,0
6941079e1c87f81bf2f628bb,91100,true,"Spb Patel Engineering College, Mahesana",,,,,,"Gujarat Technological University, Ahmedabad",Mahesana,Gujarat,College,C-270,State Public University,spbpec linch,,,,,0
6941079e1c87f81bf2f628bc,91101,true,"Ss Agrawal College of Nursing Training & Research Centre, Navsari",,,,,,"Veer Narmad South Gujarat University, Surat",Navsari,Gujarat,College,C-17852,State Public University,ss agrawal nursing navsari,,,,,0
6941079e1c87f81bf2f628bd,91102,true,"Ss Agrawal Institute of Ayurveda, Navsari",,,,,,"Gujarat Ayurveda University, Jamnagar",Navsari,Gujarat,College,C-69138,State Public University,ssa ayurveda navsari,,,,,0
6941079e1c87f81bf2f628be,91103,true,"Ss Agrawal Institute of Pharmacy, Navsari",,,,,,"Gujarat Technological University, Ahmedabad",Navsari,Gujarat,College,C-69139,State Public University,ssa pharmacy navsari,,,,,0
6941079e1c87f81bf2f628bf,91104,true,"Ss Arts College, Banas Kantha",,,,,,"Hemchandracharya North Gujart University, Patan",Banas Kantha,Gujarat,College,C-70172,State Public University,ss arts panthawada,,,,,0
6941079e1c87f81bf2f628c0,91105,true,"Ss Mahla College, Dangs",,,,,,"Veer Narmad South Gujarat University, Surat",Dangs,Gujarat,College,C-68227,State Public University,ss mahla college,,,,,0
6941079e1c87f81bf2f628c1,91106,true,"Ss Mahla Nursing College, Dangs",,,,,,"Veer Narmad South Gujarat University, Surat",Dangs,Gujarat,College,C-70999,State Public University,ss mahla nursing dang,,,,,0
6941079e1c87f81bf2f628c2,91107,true,"Ss Patel College of Education, Gandhinagar",,,,,,"Kadi Sarva Vishwavidyalaya, Gandihnagar",Gandhinagar,Gujarat,College,C-1077,State Private University,ssp college of education,,,,,0
6941079e1c87f81bf2f628c3,91108,true,"Ss Patel College of Physical Education, Anand",,,,,,THE CHARUTAR VIDYA MANDAL (CVM) UNIVERSITY,Anand,Gujarat,College,C-1211,State Private University,sspcpe vv nagar,,,,,0
6941079e1c87f81bf2f628c4,91109,true,"Ss Patel Nootan Science & Commerce College, Mahesana",,,,,,"Sankalchand Patel University, Visnagar",Mahesana,Gujarat,College,C-6883,State Private University,nootan sci & com visnagar,,,,,0
6941079e1c87f81bf2f628c5,91110,true,"Ss Agrawal Institute of Management & Technology, Navsari",,,,,,"Gujarat Technological University, Ahmedabad",Navsari,Gujarat,College,C-142,State Public University,ssaimt navsari,,,,,0
6941079e1c87f81bf2f628c6,91111,true,"Ssp Jain Arts & Comm College, Surendranagar",,,,,,"Saurashtra University, Rajkot",Surendranagar,Gujarat,College,C-872,State Public University,sspjacc dhangadhra,,,,,0
6941079e1c87f81bf2f628c7,91112,true,"Sstj Nursing School, Surat",,,,,,"Veer Narmad South Gujarat University, Surat",Surat,Gujarat,College,C-70314,State Public University,sstj nursing surat,,,,,0
6941079e1c87f81bf2f628c8,91113,true,"Sv Institute of Management, Mahesana",,,,,,"Kadi Sarva Vishwavidyalaya, Gandihnagar",Mahesana,Gujarat,College,C-375,State Private University,svim kadi,,,,,0
6941079e1c87f81bf2f628c9,91114,true,"Sabar Gram Seva Maha Vidhyalaya, Sabar Kantha",5.075,50.75,C21883,U167,Tier-3,"Hemchandracharya North Gujart University, Patan",Sabar Kantha,Gujarat,College,C-6847,State Public University,sabar gmsv,,,,,0
6941079e1c87f81bf2f628ca,91115,true,"Sabar Samajseva Mahavidhyalay Msw College Sonasan, Sabar Kantha",,,,,,"Hemchandracharya North Gujart University, Patan",Sabar Kantha,Gujarat,College,C-47960,State Public University,sabar msw sonasan,,,,,0
